recipe_id,ingredient_id,quantity_required,unit_id
3045231B-D016-4850-91CF-BD9016EA9B9F,136,1,14
3045231B-D016-4850-91CF-BD9016EA9B9F,1,1,3
3045231B-D016-4850-91CF-BD9016EA9B9F,2,1,3
3045231B-D016-4850-91CF-BD9016EA9B9F,8,1,3
3045231B-D016-4850-91CF-BD9016EA9B9F,227,2,4
3045231B-D016-4850-91CF-BD9016EA9B9F,229,2,4
3045231B-D016-4850-91CF-BD9016EA9B9F,228,2,4
3045231B-D016-4850-91CF-BD9016EA9B9F,226,1,4
3045231B-D016-4850-91CF-BD9016EA9B9F,230,2,4
3045231B-D016-4850-91CF-BD9016EA9B9F,233,1,6
3045231B-D016-4850-91CF-BD9016EA9B9F,202,50,1 
